away_team,away_score,home_team,home_score,date,Row
Skidmore,1,Rochester Tech,1,Fri 10.13,174
Bard,1,Clarkson,3,Fri 10.13,175
Vassar,0,St Lawrence,1,Fri 10.13,176
Union NY,0,Ithaca,1,Fri 10.13,177
Vassar,1,Clarkson,0,Sat 10.14,178
Cortland St,0,Brockport St,0,Sat 10.14,179
Geneseo St,2,Suny Potsdam,0,Sat 10.14,180
Houghton,2,Hartwick,0,Sat 10.14,181
Skidmore,0,Ithaca,1,Sat 10.14,182
Utica,0,Nazareth,1,Sat 10.14,183
Plattsburgh St,3,Buffalo St,3,Sat 10.14,184
Suny Fredonia,0,Suny Oneonta,2,Sat 10.14,187
Bard,0,St Lawrence,2,Sat 10.14,189
Rensselaer,0,Rochester Tech,2,Sat 10.14,190
Russell Sage,0,St John Fisher,1,Sat 10.14,191
Suny New Paltz,0,Oswego St,0,Sat 10.14,192
Union NY,0,Hobart & Smith,2,Sat 10.14,193
Elmira,1,Alfred,1,Sun 10.15,196
Clarkson,6,Suny Potsdam,0,Tue 10.17,199
Alfred,2,Houghton,0,Wed 10.18,201
Suny New Paltz,0,Cortland St,1,Wed 10.18,202
Brockport St,0,Geneseo St,0,Wed 10.18,203
Nazareth,0,Hobart & Smith,2,Wed 10.18,204
Suny Oneonta,0,Plattsburgh St,2,Wed 10.18,205
St Lawrence,3,Utica,0,Wed 10.18,208
Oswego St,2,Buffalo St,0,Wed 10.18,209
Hartwick,0,Elmira,0,Wed 10.18,210
Clarkson,2,Rensselaer,0,Sat 10.21,215
Cortland St,3,Oswego St,0,Sat 10.21,216
Plattsburgh St,1,Geneseo St,0,Sat 10.21,217
Hobart & Smith,3,Bard,0,Sat 10.21,218
Houghton,0,St John Fisher,5,Sat 10.21,219
Vassar,0,Ithaca,0,Sat 10.21,220
Nazareth,0,Russell Sage,0,Sat 10.21,221
St Lawrence,0,Skidmore,0,Sat 10.21,223
Suny Oneonta,3,Buffalo St,5,Sat 10.21,225
Suny Potsdam,1,Brockport St,3,Sat 10.21,226
Elmira,0,Keuka,0,Sat 10.21,227
Suny New Paltz,0,Suny Fredonia,1,Sat 10.21,228
Rochester Tech,3,Union NY,1,Sat 10.21,229
Hartwick,0,Alfred,0,Sat 10.21,231
Hobart & Smith,0,Vassar,0,Sun 10.22,234
Clarkson,2,St Lawrence,0,Tue 10.24,235
Rochester Tech,0,Ithaca,0,Tue 10.24,236
Keuka,1,Houghton,3,Wed 10.25,243
Nazareth,2,Alfred,0,Wed 10.25,244
St John Fisher,1,Utica,1,Wed 10.25,245
Rensselaer,1,Vassar,0,Wed 10.25,246
Russell Sage,2,Hartwick,0,Wed 10.25,247
Union NY,1,Skidmore,1,Wed 10.25,248
Hobart & Smith,6,St Lawrence,0,Sat 10.28,250
Ithaca,2,Rensselaer,2,Sat 10.28,251
Bard,0,Skidmore,5,Sat 10.28,252
Clarkson,2,Union NY,1,Sat 10.28,253
Rochester Tech,0,Vassar,0,Sat 10.28,254
